CourseID,Year,Month,YearMonth,Month,CoursePrice,CourseDuration,CourseRating,TeacherCount,AvgTeacherExperience,AvgTeacherRating,ExpertiseMatchRate,Quarter,IsQuarterStart,IsQuarterEnd,TimeIndex,CourseTypeEncoded,CourseLevelEncoded,TeacherRatingScore,TeacherQualityScore,ExpertiseMatchScore,PreviousMonthEnrollment,PreviousMonthRevenue,PreviousMonthTransactionCount,PreviousMonthAverageTransactionAmount,Previous3MonthEnrollmentSum,Previous3MonthRevenueSum,Previous3MonthEnrollment,Previous3MonthRevenue,Previous6MonthEnrollment,Previous6MonthRevenue,EnrollmentGrowthRate,RevenueGrowthRate,HasPreviousMonthData,MonthSin,MonthCos,YearProgress,Category_Artificial Intelligence,Category_Business,Category_Cybersecurity,Category_Data Science,Category_Design,Category_Digital Marketing,Category_Finance,Category_Machine Learning,Category_Marketing,Category_Programming,Category_Project Management,Category_Web Development,PriceBand_Free,PriceBand_High,PriceBand_Low,PriceBand_Medium,Duration_Long,Duration_Medium,Duration_Short,Rating_Excellent,Rating_Good,Rating_Low,Rating_Medium,RevenueTarget
CR00001,2025,1,2025-01,1,472.28,11.0,4.74,25,16.682926829268293,4.191646341463414,0.1341463414634146,1,1,0,24301,1,0,4.191646341463414,69.92892920880428,0.1341463414634146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4999999999999999,0.8660254037844387,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,8501.039999999999
CR00002,2025,1,2025-01,1,0.0,37.7,2.43,20,17.013422818791945,4.211409395973154,0.1610738255033557,1,1,0,24301,0,1,4.211409395973154,71.65048871672445,0.1610738255033557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4999999999999999,0.8660254037844387,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
CR00003,2025,1,2025-01,1,0.0,19.53,3.85,27,16.589595375722542,4.079017341040462,0.1387283236994219,1,1,0,24301,0,0,4.079017341040462,67.66924721841691,0.1387283236994219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4999999999999999,0.8660254037844387,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0
CR00004,2025,1,2025-01,1,0.0,45.13,2.88,27,15.896103896103895,4.097987012987013,0.1623376623376623,1,1,0,24301,0,0,4.097987012987013,65.14202732332602,0.1623376623376623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4999999999999999,0.8660254037844387,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
CR00005,2025,1,2025-01,1,0.0,28.68,1.28,29,15.795180722891564,4.05855421686747,0.1506024096385542,1,1,0,24301,0,0,4.05855421686747,64.10559732907532,0.1506024096385542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4999999999999999,0.8660254037844387,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0
CR00006,2025,1,2025-01,1,276.37,48.84,2.72,15,16.75,4.133461538461538,0.3012820512820512,1,1,0,24301,1,2,4.133461538461538,69.23548076923076,0.3012820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4999999999999999,0.8660254037844387,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3040.07
CR00007,2025,1,2025-01,1,0.0,48.68,2.61,16,16.02247191011236,3.932584269662921,0.3426966292134831,1,1,0,24301,0,2,3.932584269662921,63.00972099482388,0.3426966292134831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4999999999999999,0.8660254037844387,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
CR00008,2025,1,2025-01,1,0.0,2.87,1.52,15,16.329113924050635,3.999113924050633,0.3291139240506329,1,1,0,24301,0,2,3.999113924050633,65.30198686107997,0.3291139240506329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4999999999999999,0.8660254037844387,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.0
CR00009,2025,1,2025-01,1,0.0,48.19,4.51,19,15.387096774193548,3.9562580645161294,0.3548387096774194,1,1,0,24301,0,0,3.9562580645161294,60.87532570239335,0.3548387096774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4999999999999999,0.8660254037844387,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.0
CR00010,2025,1,2025-01,1,0.0,15.29,4.45,18,16.05,3.997055555555556,0.3222222222222222,1,1,0,24301,0,2,3.997055555555556,64.15274166666667,0.3222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4999999999999999,0.8660254037844387,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.0
